sampleid	Taxon	Superkingdom	Phyllum	Class	Order	Family	Genus	Species
G001772615	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__2-01-FULL-41-18; g__2-01-FULL-41-18; s__2-01-FULL-41-18 sp001772615"	Bacteria	Patescibacteria	WWE3	UBA101185	2-01-FULL-41-18	2-01-FULL-41-18	2-01-FULL-41-18 sp001772615
G001772625	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__2-01-FULL-42-13; s__2-01-FULL-42-13 sp001772625"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	2-01-FULL-42-13	2-01-FULL-42-13 sp001772625
G001772655	"d__Bacteria; p__Patescibacteria; c__WWE3; o__9FT-COMBO-53-11; f__9FT-COMBO-53-11; g__9FT-COMBO-53-11; s__"	Bacteria	Patescibacteria	WWE3	9FT-COMBO-53-11	9FT-COMBO-53-11	9FT-COMBO-53-11	
G001772665	"d__Bacteria; p__Patescibacteria; c__WWE3; o__2-01-FULL-39-13; f__2-01-FULL-39-13; g__2-01-FULL-39-13; s__2-01-FULL-39-13 sp001772665"	Bacteria	Patescibacteria	WWE3	2-01-FULL-39-13	2-01-FULL-39-13	2-01-FULL-39-13	2-01-FULL-39-13 sp001772665
G001772695	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__2-01-FULL-41-18; g__2-01-FULL-41-18; s__2-01-FULL-41-18 sp001772615"	Bacteria	Patescibacteria	WWE3	UBA101185	2-01-FULL-41-18	2-01-FULL-41-18	2-01-FULL-41-18 sp001772615
G001772705	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__GWB1-41-6; s__GWB1-41-6 sp000997355"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	GWB1-41-6	GWB1-41-6 sp000997355
G001772775	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__UBA8498; s__UBA8498 sp001773255"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	UBA8498	UBA8498 sp001773255
G001772795	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__UBA8498; s__UBA8498 sp001773255"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	UBA8498	UBA8498 sp001773255
G001772805	"d__Bacteria; p__Patescibacteria; c__WWE3; o__9FT-COMBO-53-11; f__9FT-COMBO-53-11; g__9FT-COMBO-53-11; s__9FT-COMBO-53-11 sp001772805"	Bacteria	Patescibacteria	WWE3	9FT-COMBO-53-11	9FT-COMBO-53-11	9FT-COMBO-53-11	9FT-COMBO-53-11 sp001772805
G001772815	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__2-02-FULL-38-14; s__2-02-FULL-38-14 sp001772865"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	2-02-FULL-38-14	2-02-FULL-38-14 sp001772865
G001772855	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__UBA10185; s__UBA10185 sp000994815"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	UBA10185	UBA10185 sp000994815
G001772865	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__2-02-FULL-38-14; s__2-02-FULL-38-14 sp001772865"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	2-02-FULL-38-14	2-02-FULL-38-14 sp001772865
G001772885	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__2-02-FULL-38-14; s__2-02-FULL-38-14 sp001772865"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	2-02-FULL-38-14	2-02-FULL-38-14 sp001772865
G001772935	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__2-02-FULL-38-14; s__2-02-FULL-38-14 sp001772865"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	2-02-FULL-38-14	2-02-FULL-38-14 sp001772865
G001772955	"d__Bacteria; p__Patescibacteria; c__WWE3; o__9FT-COMBO-53-11; f__9FT-COMBO-53-11; g__9FT-COMBO-53-11; s__"	Bacteria	Patescibacteria	WWE3	9FT-COMBO-53-11	9FT-COMBO-53-11	9FT-COMBO-53-11	
G001772985	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__MEVN01; s__MEVN01 sp001772985"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	MEVN01	MEVN01 sp001772985
G001773015	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__OXYB2-FULL-41-6; s__OXYB2-FULL-41-6 sp001773215"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	OXYB2-FULL-41-6	OXYB2-FULL-41-6 sp001773215
G001773035	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__UBA8498; s__UBA8498 sp000996895"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	UBA8498	UBA8498 sp000996895
G001773055	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__OXYB2-FULL-41-6; s__OXYB2-FULL-41-6 sp001773215"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	OXYB2-FULL-41-6	OXYB2-FULL-41-6 sp001773215
G001773065	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__OXYB2-FULL-41-6; s__OXYB2-FULL-41-6 sp001773215"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	OXYB2-FULL-41-6	OXYB2-FULL-41-6 sp001773215
G001773115	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__UBA8498; s__"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	UBA8498	
G001773145	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__OXYB2-FULL-41-6; s__OXYB2-FULL-41-6 sp001773215"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	OXYB2-FULL-41-6	OXYB2-FULL-41-6 sp001773215
G001773175	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__UBA8498; s__UBA8498 sp001773255"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	UBA8498	UBA8498 sp001773255
G001773225	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__OXYB2-FULL-41-6; s__OXYB2-FULL-41-6 sp001773215"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	OXYB2-FULL-41-6	OXYB2-FULL-41-6 sp001773215
G001773275	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__UBA8498; s__UBA8498 sp000996895"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	UBA8498	UBA8498 sp000996895
G001773295	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__OXYD1-FULL-39-9; s__OXYD1-FULL-39-9 sp001773295"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	OXYD1-FULL-39-9	OXYD1-FULL-39-9 sp001773295
G001773375	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__OXYB2-FULL-41-6; s__OXYB2-FULL-41-6 sp001773215"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	OXYB2-FULL-41-6	OXYB2-FULL-41-6 sp001773215
G001773385	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__UBA8498; s__UBA8498 sp001773385"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	UBA8498	UBA8498 sp001773385
G001773395	"d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__UBA8498; s__UBA8498 sp001773255"	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	UBA8498	UBA8498 sp001773255
G001773425	"d__Bacteria; p__Zixibacteria; c__MSB-5A5; o__MSB-5A5; f__RBG-1; g__RBG-1; s__"	Bacteria	Zixibacteria	MSB-5A5	MSB-5A5	RBG-1	RBG-1	
G001773455	"d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__RBG-16-42-10; f__RBG-16-42-10; g__RBG-16-42-10; s__RBG-16-42-10 sp001773455"	Bacteria	Patescibacteria	Gracilibacteria	RBG-16-42-10	RBG-16-42-10	RBG-16-42-10	RBG-16-42-10 sp001773455
G001773465	"d__Bacteria; p__Zixibacteria; c__MSB-5A5; o__MSB-5A5; f__RBG-1; g__RBG-1; s__"	Bacteria	Zixibacteria	MSB-5A5	MSB-5A5	RBG-1	RBG-1	
G001773575	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9983_A; f__SBAW01; g__GWA1-54-10; s__GWA1-54-10 sp001773575"	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	SBAW01	GWA1-54-10	GWA1-54-10 sp001773575
G001773585	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__UBA12042 sp001775555"	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	Amesbacteraceae	UBA12042	UBA12042 sp001775555
G001773615	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__WO2-48-25; s__WO2-48-25 sp001773695"	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	Amesbacteraceae	WO2-48-25	WO2-48-25 sp001773695
G001773645	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__UBA12042 sp001775555"	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	Amesbacteraceae	UBA12042	UBA12042 sp001775555
G001773655	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__GWC1-47-15; s__"	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	Amesbacteraceae	GWC1-47-15	
G001773695	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__WO2-48-25; s__WO2-48-25 sp001773695"	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	Amesbacteraceae	WO2-48-25	WO2-48-25 sp001773695
G001773715	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__UBA12042 sp001775555"	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	Amesbacteraceae	UBA12042	UBA12042 sp001775555
G001773725	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__01-FULL-48-32b; s__01-FULL-48-32b sp001773725"	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	Amesbacteraceae	01-FULL-48-32b	01-FULL-48-32b sp001773725
G001773735	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__UBA12042 sp001775555"	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	Amesbacteraceae	UBA12042	UBA12042 sp001775555
G001773775	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__XYB1-FULL-44-23; s__XYB1-FULL-44-23 sp001773775"	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	Amesbacteraceae	XYB1-FULL-44-23	XYB1-FULL-44-23 sp001773775
G001773795	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__UBA12042 sp001002325"	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	Amesbacteraceae	UBA12042	UBA12042 sp001002325
G001773815	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__"	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	Amesbacteraceae	UBA12042	
G001773915	"d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__; g__; s__"	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales			
G001773925	"d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__; g__; s__"	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales			
G001773975	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__GWC2-36-17; f__WO2-46-25; g__MEYI01; s__MEYI01 sp001773975"	Bacteria	Patescibacteria	Paceibacteria	GWC2-36-17	WO2-46-25	MEYI01	MEYI01 sp001773975
G001774005	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__2-02-FULL-45-18; s__2-02-FULL-45-18 sp001774075"	Bacteria	Patescibacteria	Paceibacteria	UBA10092	UBA10092	2-02-FULL-45-18	2-02-FULL-45-18 sp001774075
G001774035	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__GWC2-36-17; f__WO2-46-25; g__WO2-46-25; s__WO2-46-25 sp001775835"	Bacteria	Patescibacteria	Paceibacteria	GWC2-36-17	WO2-46-25	WO2-46-25	WO2-46-25 sp001775835
G001774055	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__2-02-FULL-45-18; s__2-02-FULL-45-18 sp001774075"	Bacteria	Patescibacteria	Paceibacteria	UBA10092	UBA10092	2-02-FULL-45-18	2-02-FULL-45-18 sp001774075
G001774075	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__2-02-FULL-45-18; s__2-02-FULL-45-18 sp001774075"	Bacteria	Patescibacteria	Paceibacteria	UBA10092	UBA10092	2-02-FULL-45-18	2-02-FULL-45-18 sp001774075
G001774085	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__GWC2-36-17; f__WO2-46-25; g__WO2-46-25; s__WO2-46-25 sp001775835"	Bacteria	Patescibacteria	Paceibacteria	GWC2-36-17	WO2-46-25	WO2-46-25	WO2-46-25 sp001775835
G001774135	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__2-02-FULL-45-18; s__2-02-FULL-45-18 sp001774075"	Bacteria	Patescibacteria	Paceibacteria	UBA10092	UBA10092	2-02-FULL-45-18	2-02-FULL-45-18 sp001774075
G001774165	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__UBA10092; s__UBA10092 sp003455995"	Bacteria	Patescibacteria	Paceibacteria	UBA10092	UBA10092	UBA10092	UBA10092 sp003455995
G001774195	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__GWA1-42-19; s__GWA1-42-19 sp000994805"	Bacteria	Patescibacteria	Paceibacteria	UBA10092	UBA10092	GWA1-42-19	GWA1-42-19 sp000994805
G001774245	"d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__TCS64; f__TCS64; g__UBA8941; s__UBA8941 sp001774245"	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	UBA8941	UBA8941 sp001774245
G001774275	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__CG1-02-47-37; g__GWC1-49-16; s__GWC1-49-16 sp001029675"	Bacteria	Patescibacteria	Microgenomatia	UBA1400	CG1-02-47-37	GWC1-49-16	GWC1-49-16 sp001029675
G001774295	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__CG1-02-47-37; g__GWC1-49-16; s__GWC1-49-16 sp001029675"	Bacteria	Patescibacteria	Microgenomatia	UBA1400	CG1-02-47-37	GWC1-49-16	GWC1-49-16 sp001029675
G001774335	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__CG1-02-47-37; g__GWC1-49-16; s__GWC1-49-16 sp001029675"	Bacteria	Patescibacteria	Microgenomatia	UBA1400	CG1-02-47-37	GWC1-49-16	GWC1-49-16 sp001029675
G001774375	"d__Bacteria; p__Patescibacteria; c__UBA1384; o__UBA12157; f__UBA12157; g__GWE1-39-12; s__"	Bacteria	Patescibacteria	UBA1384	UBA12157	UBA12157	GWE1-39-12	
G001774395	"d__Bacteria; p__Patescibacteria; c__UBA1384; o__2-12-FULL-50-11; f__2-12-FULL-50-11; g__2-12-FULL-50-11; s__2-12-FULL-50-11 sp001774395"	Bacteria	Patescibacteria	UBA1384	2-12-FULL-50-11	2-12-FULL-50-11	2-12-FULL-50-11	2-12-FULL-50-11 sp001774395
G001774495	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9983_A; f__UBA12079; g__UBA12079; s__UBA12079 sp001774495"	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA12079	UBA12079	UBA12079 sp001774495
G001774505	"d__Bacteria; p__RBG-13-66-14; c__RBG-13-66-14; o__RBG-13-66-14; f__RBG-13-66-14; g__RBG-13-66-14; s__RBG-13-66-14 sp001774505"	Bacteria	RBG-13-66-14	RBG-13-66-14	RBG-13-66-14	RBG-13-66-14	RBG-13-66-14	RBG-13-66-14 sp001774505
G001774535	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__MFAQ01; g__2-01-FULL-50-23; s__2-01-FULL-50-23 sp001774555"	Bacteria	Patescibacteria	Microgenomatia	UBA1400	MFAQ01	2-01-FULL-50-23	2-01-FULL-50-23 sp001774555
G001774555	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__MFAQ01; g__2-01-FULL-50-23; s__2-01-FULL-50-23 sp001774555"	Bacteria	Patescibacteria	Microgenomatia	UBA1400	MFAQ01	2-01-FULL-50-23	2-01-FULL-50-23 sp001774555
G001774615	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__Chazhemtobacteraceae; g__Chazhemtobacterium; s__"	Bacteria	Patescibacteria	Microgenomatia	UBA1400	Chazhemtobacteraceae	Chazhemtobacterium	
G001774705	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__; s__"	Bacteria	Patescibacteria	Microgenomatia	Curtissbacterales	GWA2-41-24		
G001774845	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__2-12-FULL-41-17; s__"	Bacteria	Patescibacteria	Microgenomatia	Curtissbacterales	GWA2-41-24	2-12-FULL-41-17	
G001774865	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__MFBF01; s__MFBF01 sp001774865"	Bacteria	Patescibacteria	Microgenomatia	Curtissbacterales	GWA2-41-24	MFBF01	MFBF01 sp001774865
G001774895	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__GWA2-41-24; s__"	Bacteria	Patescibacteria	Microgenomatia	Curtissbacterales	GWA2-41-24	GWA2-41-24	
G001774945	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__2-12-FULL-41-17; s__2-12-FULL-41-17 sp001774945"	Bacteria	Patescibacteria	Microgenomatia	Curtissbacterales	GWA2-41-24	2-12-FULL-41-17	2-12-FULL-41-17 sp001774945
G001774975	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__WO2-42-50; s__WO2-42-50 sp001776545"	Bacteria	Patescibacteria	Microgenomatia	Curtissbacterales	GWA2-41-24	WO2-42-50	WO2-42-50 sp001776545
G001774995	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__MFBO01; s__MFBO01 sp001774995"	Bacteria	Patescibacteria	Microgenomatia	Curtissbacterales	GWA2-41-24	MFBO01	MFBO01 sp001774995
G001775055	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__GWA2-41-24; s__GWA2-41-24 sp001775055"	Bacteria	Patescibacteria	Microgenomatia	Curtissbacterales	GWA2-41-24	GWA2-41-24	GWA2-41-24 sp001775055
G001775085	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__WO2-FULL-40-11; s__WO2-FULL-40-11 sp001776505"	Bacteria	Patescibacteria	Microgenomatia	Curtissbacterales	GWA2-41-24	WO2-FULL-40-11	WO2-FULL-40-11 sp001776505
G001775095	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__GWC1-40-35; s__GWC1-40-35 sp001775095"	Bacteria	Patescibacteria	Microgenomatia	Curtissbacterales	GWA2-41-24	GWC1-40-35	GWC1-40-35 sp001775095
G001775155	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__GWC1-40-35; s__GWC1-40-35 sp001775095"	Bacteria	Patescibacteria	Microgenomatia	Curtissbacterales	GWA2-41-24	GWC1-40-35	GWC1-40-35 sp001775095
G001775245	"d__Bacteria; p__Desulfobacterota_D; c__UBA1144; o__UBA2774; f__CSP1-2; g__CSP1-2; s__"	Bacteria	Desulfobacterota_D	UBA1144	UBA2774	CSP1-2	CSP1-2	
G001775325	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Daviesbacterales; f__UBA10151; g__GWB1-36-5; s__GWB1-36-5 sp001776785"	Bacteria	Patescibacteria	Microgenomatia	Daviesbacterales	UBA10151	GWB1-36-5	GWB1-36-5 sp001776785
G001775355	"d__Bacteria; p__Zixibacteria; c__MSB-5A5; o__MSB-5A5; f__RBG-16-43-9; g__RBG-16-43-9; s__RBG-16-43-9 sp001775355"	Bacteria	Zixibacteria	MSB-5A5	MSB-5A5	RBG-16-43-9	RBG-16-43-9	RBG-16-43-9 sp001775355
G001775365	"d__Bacteria; p__Zixibacteria; c__MSB-5A5; o__MSB-5A5; f__RBG-1; g__RBG-1; s__"	Bacteria	Zixibacteria	MSB-5A5	MSB-5A5	RBG-1	RBG-1	
G001775405	"d__Bacteria; p__Zixibacteria; c__MSB-5A5; o__MSB-5A5; f__RBG-1; g__RBG-1; s__RBG-1 sp000447245"	Bacteria	Zixibacteria	MSB-5A5	MSB-5A5	RBG-1	RBG-1	RBG-1 sp000447245
G001775435	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9983_A; f__SBAW01; g__GWA1-54-10; s__"	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	SBAW01	GWA1-54-10	
G001775445	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9983_A; f__SBAW01; g__GWA1-54-10; s__GWA1-54-10 sp001775445"	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	SBAW01	GWA1-54-10	GWA1-54-10 sp001775445
G001775475	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9983_A; f__SBAW01; g__GWA1-54-10; s__GWA1-54-10 sp001775475"	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	SBAW01	GWA1-54-10	GWA1-54-10 sp001775475
G001775565	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__GWC1-47-15; s__"	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	Amesbacteraceae	GWC1-47-15	
G001775605	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__01-FULL-48-32b; s__01-FULL-48-32b sp001773725"	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	Amesbacteraceae	01-FULL-48-32b	01-FULL-48-32b sp001773725
G001775635	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__UBA12042 sp001775555"	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	Amesbacteraceae	UBA12042	UBA12042 sp001775555
G001775645	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__UBA12042 sp001775555"	Bacteria	Patescibacteria	Microgenomatia	GWA2-44-7	Amesbacteraceae	UBA12042	UBA12042 sp001775555
G001775695	"d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__; g__; s__"	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales			
G001775775	"d__Bacteria; p__Atribacterota; c__JS1; o__SB-45; f__34-128; g__34-128; s__"	Bacteria	Atribacterota	JS1	SB-45	34-128	34-128	
G001775785	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__GWA1-42-19; s__"	Bacteria	Patescibacteria	Paceibacteria	UBA10092	UBA10092	GWA1-42-19	
G001775835	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__GWC2-36-17; f__WO2-46-25; g__WO2-46-25; s__WO2-46-25 sp001775835"	Bacteria	Patescibacteria	Paceibacteria	GWC2-36-17	WO2-46-25	WO2-46-25	WO2-46-25 sp001775835
G001775935	"d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__2-02-FULL-45-18; s__2-02-FULL-45-18 sp001774075"	Bacteria	Patescibacteria	Paceibacteria	UBA10092	UBA10092	2-02-FULL-45-18	2-02-FULL-45-18 sp001774075
G001775955	"d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__40CM-2-53-6; f__RBG-13-38-9; g__RBG-13-38-9; s__RBG-13-38-9 sp001775955"	Archaea	Thermoproteota	Bathyarchaeia	40CM-2-53-6	RBG-13-38-9	RBG-13-38-9	RBG-13-38-9 sp001775955
G001775965	"d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__TCS64; f__TCS64; g__RBG-16-57-9; s__RBG-16-57-9 sp001775965"	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	RBG-16-57-9 sp001775965
G001775995	"d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__RBG-16-48-13; f__RBG-16-48-13; g__RBG-16-48-13; s__RBG-16-48-13 sp001775995"	Archaea	Thermoproteota	Bathyarchaeia	RBG-16-48-13	RBG-16-48-13	RBG-16-48-13	RBG-16-48-13 sp001775995
G001776015	"d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__TCS64; f__TCS64; g__RBG-16-57-9; s__RBG-16-57-9 sp001775965"	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	RBG-16-57-9 sp001775965
G001776045	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__; g__; s__"	Bacteria	Patescibacteria	Microgenomatia	UBA1400			
G001776075	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__CG1-02-47-37; g__GWC1-49-16; s__GWC1-49-16 sp001029675"	Bacteria	Patescibacteria	Microgenomatia	UBA1400	CG1-02-47-37	GWC1-49-16	GWC1-49-16 sp001029675
G001776115	"d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__CG1-02-47-37; g__CG1-02-47-37; s__"	Bacteria	Patescibacteria	Microgenomatia	UBA1400	CG1-02-47-37	CG1-02-47-37	
G001776125	"d__Bacteria; p__Patescibacteria; c__UBA1384; o__2-12-FULL-50-11; f__2-12-FULL-50-11; g__2-12-FULL-50-11; s__2-12-FULL-50-11 sp001774395"	Bacteria	Patescibacteria	UBA1384	2-12-FULL-50-11	2-12-FULL-50-11	2-12-FULL-50-11	2-12-FULL-50-11 sp001774395
G001776145	"d__Bacteria; p__Patescibacteria; c__UBA1384; o__; f__; g__; s__"	Bacteria	Patescibacteria	UBA1384				
